;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KALEM BAZINDA AMBALAJ TIR KAMPANYASI MALİYETLERİ DALMAÇYALI - EXPERT (ARALIK 2025-8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MALZEME İSMİ;KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI;;2025-7;;KDV HARİÇ;KDV HARİÇ;; Yüzde +10;Yüzde +10/ m2;;;;"MALZEME İSMİ
EYLÜL 2025-6";KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI
Dalmaçyalı İdeal Carbon 2 cm levha;912,30 TL;9;8;;;;;763,78 TL;61,10 TL;0,00%;912,30 TL;;636,48;50,92;;700,13;56,01;;;;Dalmaçyalı İdeal Carbon 4 cm levha;796,18 TL;9;8;;;;;666,56 TL;111,09 TL
Dalmaçyalı İdeal Carbon 3 cm levha;796,22 TL;9;8;;;;;666,60 TL;83,32 TL;0,00%;796,22 TL;;555,50;69,44;;611,05;76,38;;;;Dalmaçyalı İdeal Carbon 5 cm levha;829,32 TL;9;8;;;;;694,31 TL;138,86 TL
Dalmaçyalı İdeal Carbon 4 cm levha;796,18 TL;9;8;;;;;666,56 TL;111,09 TL;0,00%;796,18 TL;;555,47;92,58;;611,02;101,84;;;;Dalmaçyalı Isı Yalıtım Yapıştırıcısı;226,80 TL;9;8;;;;;189,88 TL;
Dalmaçyalı İdeal Carbon 5 cm levha;829,32 TL;9;8;;;;;694,31 TL;138,86 TL;0,00%;829,32 TL;;578,59;115,72;;636,45;127,29;;;;Dalmaçyalı Isı Yalıtım Sıvası;308,40 TL;9;8;;;;;258,19 TL;
Dalmaçyalı İdeal Carbon 6 cm levha;796,22 TL;9;8;;;;;666,60 TL;166,65 TL;0,00%;796,22 TL;;555,50;138,87;;611,05;152,76;;;;Dalmaçyalı Donatı Filesi S160 55 M2;2.634,00 TL;9;8;;;;;2.205,18 TL;
Dalmaçyalı İdeal Carbon 7 cm levha;812,78 TL;9;8;;;;;680,46 TL;194,42 TL;0,00%;812,78 TL;;567,05;162,01;;623,75;178,22;;;;Dalmaçyalı Beton Dübeli çelik çivili 9,5 cm            200 adet;756,00 TL;9;8;;;;;632,92 TL;
Dalmaçyalı İdeal Carbon 8 cm levha;796,18 TL;9;8;;;;;666,56 TL;222,19 TL;0,00%;796,18 TL;;555,47;185,16;;611,02;203,67;;;;Dalmaçyalı Beton Dübeli çelik çivili 11,5 cm         200 adet;806,40 TL;9;8;;;;;675,12 TL;
Dalmaçyalı İdeal Carbon 9 cm levha;746,40 TL;9;8;;;;;624,89 TL;249,95 TL;0,00%;746,40 TL;;520,74;208,30;;572,81;229,12;;;;Dalmaçyalı Fileli Köşe (PVC) 2,5 Mt                  (50 adet 125 m);2.620,80 TL;9;8;;;;;2.194,13 TL;
Dalmaçyalı İdeal Carbon 10 cm levha;829,38 TL;9;8;;;;;694,36 TL;277,74 TL;0,00%;829,38 TL;;578,63;231,45;;636,49;254,60;;;;Dalmaçyalı Kaplama Astarı;1.320,00 TL;9;8;;;;;1.105,10 TL;
Dalmaçyalı Double Carbon 2 cm levha;1.053,60 TL;9;8;;;;;882,07 TL;70,57 TL;0,00%;1.053,60 TL;;735,06;58,80;;808,57;64,69;;;;Dalmaçyalı Mineral kaplama (İnce Tane 1,5mm);461,40 TL;9;8;;;;;386,28 TL;
Dalmaçyalı Double Carbon 3 cm levha;919,68 TL;9;8;;;;;769,96 TL;96,24 TL;0,00%;919,68 TL;;641,63;80,20;;705,79;88,22;;;;Dalmaçyalı Mineral kaplama (Tane Doku 2mm);461,40 TL;9;8;;;;;386,28 TL;
Dalmaçyalı Double Carbon 4 cm levha;919,58 TL;9;8;;;;;769,87 TL;128,31 TL;0,00%;919,58 TL;;641,56;106,93;;705,72;117,62;;;;Dalmaçyalı Mineral kaplama (Çizgi Doku 3mm);483,00 TL;9;8;;;;;404,37 TL;
Dalmaçyalı Double Carbon 5 cm levha;957,96 TL;9;8;;;;;802,00 TL;160,40 TL;0,00%;957,96 TL;;668,34;133,67;;735,17;147,03;;;;;;;;;;;;;
Dalmaçyalı Double Carbon 6 cm levha;919,58 TL;9;8;;;;;769,87 TL;192,47 TL;0,00%;919,58 TL;;641,56;160,39;;705,72;176,43;;;;;;;;;;;;;
Dalmaçyalı Double Carbon 7 cm levha;938,78 TL;9;8;;;;;785,95 TL;224,56 TL;0,00%;938,78 TL;;654,96;187,13;;720,45;205,84;;;;;;;;;;;;;
Dalmaçyalı Double Carbon 8 cm levha;919,58 TL;9;8;;;;;769,87 TL;256,62 TL;0,00%;919,58 TL;;641,56;213,85;;705,72;235,24;;;;;;;;;;;;;
Dalmaçyalı Double Carbon 9 cm levha;862,14 TL;9;8;;;;;721,78 TL;288,71 TL;0,00%;862,14 TL;;601,49;240,59;;661,63;264,65;;;;;;;;;;;;;
Dalmaçyalı Double Carbon 10 cm levha;957,90 TL;9;8;;;;;801,95 TL;320,78 TL;0,00%;957,90 TL;;668,29;267,32;;735,12;294,05;;;;;;;;;;;;;
Dalmaçyalı Isı Yalıtım Yapıştırıcısı;233,60 TL;9;8;;;;;195,57 TL;;0,00%;233,60 TL;;162,97;;;179,27;;;;;;;;;;;;;;
Dalmaçyalı Stonewool Taşyünü Sistem  Yapıştırıcısı;321,36 TL;9;8;;;;;269,04 TL;;0,00%;321,36 TL;;224,20;;;246,62;;;;;;;;;;;;;;
Dalmaçyalı CarbonPower Isı Yalıtım Yapıştırıcı;323,83 TL;9;8;;;;;271,11 TL;;0,00%;323,83 TL;;225,93;;;248,52;;;;;;;;;;;;;;
Dalmaçyalı Organik Isı Yalıtım Yapıştırıcısı;1.464,05 TL;9;8;;;;;1.225,70 TL;;0,00%;1.464,05 TL;;1021,42;;;1123,56;;;;;;;;;;;;;;
Dalmaçyalı Isı Yalıtım Sıvası;317,65 TL;9;8;;;;;265,94 TL;;0,00%;317,65 TL;;221,61;;;243,78;;;;;;;;;;;;;;
Dalmaçyalı Stonewool Taşyünü Sistem Sıvası;349,18 TL;9;8;;;;;292,33 TL;;0,00%;349,18 TL;;243,61;;;267,97;;;;;;;;;;;;;;
Dalmaçyalı Carbonmax Isı Yalıtım Sistem Sıvası;603,17 TL;9;8;;;;;504,97 TL;;0,00%;603,17 TL;;420,81;;;462,89;;;;;;;;;;;;;;
Dalmaçyalı Uni Isı Yalıtım Sıvası;465,97 TL;9;8;;;;;390,11 TL;;0,00%;465,97 TL;;325,09;;;357,60;;;;;;;;;;;;;;
Dalmaçyalı Organik Isı Yalıtım Sistem Sıvası;1.241,26 TL;9;8;;;;;1.039,18 TL;;0,00%;1.241,26 TL;;865,99;;;952,58;;;;;;;;;;;;;;
Dalmaçyalı Mineral Kaplama (Kum Doku 1,00mm);475,24 TL;9;8;;;;;397,87 TL;;0,00%;475,24 TL;;331,56;;;364,72;;;;;;;;;;;;;;
Dalmaçyalı Mineral kaplama (İnce Tane 1,5mm);475,24 TL;9;8;;;;;397,87 TL;;0,00%;475,24 TL;;331,56;;;364,72;;;;;;;;;;;;;;
Dalmaçyalı Mineral kaplama (Tane Doku 2mm);475,24 TL;9;8;;;;;397,87 TL;;0,00%;475,24 TL;;331,56;;;364,72;;;;;;;;;;;;;;
Dalmaçyalı Mineral kaplama (Çizgi Doku 3mm);497,50 TL;9;8;;;;;416,51 TL;;0,00%;497,50 TL;;347,09;;;381,80;;;;;;;;;;;;;;
Dalmaçyalı Mineral kaplama (Kalın Çizgi Doku 5mm);497,50 TL;9;8;;;;;416,51 TL;;0,00%;497,50 TL;;347,09;;;381,80;;;;;;;;;;;;;;
Dalmaçyalı Stonewool Sistem Mineral Kaplama 1,5 mm;486,98 TL;9;8;;;;;407,70 TL;;0,00%;486,98 TL;;339,75;;;373,72;;;;;;;;;;;;;;
Dalmaçyalı Carbonfine Kaplama 2mm;620,47 TL;9;8;;;;;519,46 TL;;0,00%;620,47 TL;;432,88;;;476,17;;;;;;;;;;;;;;
Dalmaçyalı Organic Silikonlu Kaplama İnce Tane;2.291,54 TL;9;8;;;;;1.918,48 TL;;0,00%;2.291,54 TL;;1598,73;;;1758,60;;;;;;;;;;;;;;
Dalmaçyalı Organic Silikonlu Kaplama Tane Doku ;2.291,54 TL;9;8;;;;;1.918,48 TL;;0,00%;2.291,54 TL;;1598,73;;;1758,60;;;;;;;;;;;;;;
Dalmaçyalı Organic Silikonlu Kaplama Çizgi Doku;2.291,54 TL;9;8;;;;;1.918,48 TL;;0,00%;2.291,54 TL;;1598,73;;;1758,60;;;;;;;;;;;;;;
Dalmaçyalı Kaplama Astarı;1.320,00 TL;9;8;;;;;1.105,10 TL;;0,00%;1.320,00 TL;;920,92;;;1013,01;;;;;;;;;;;;;;
Dalmaçyalı Magic Fine Kaplama 15 KG;850,99 TL;9;8;;;;;712,45 TL;;0,00%;850,99 TL;;593,71;;;653,08;;;;;;;;;;;;;;
Dalmaçyalı Magic Quartz;9.764,40 TL;9;8;;;;;8.174,76 TL;;0,00%;9.764,40 TL;;6812,30;;;7493,53;;;;;;;;;;;;;;
Dalmaçyalı Standart Dübel 9,5cm        plas.çivili 600 adet;1.864,80 TL;9;8;;;;;1.561,21 TL;;0,00%;1.864,80 TL;;1301,01;;;1431,11;;;;;;;;;;;;;;
Dalmaçyalı Standart Dübel 11,5cm      plas.çivili 600 adet;2.102,40 TL;9;8;;;;;1.760,13 TL;;0,00%;2.102,40 TL;;1466,77;;;1613,45;;;;;;;;;;;;;;
Dalmaçyalı Standart Dübel 13,5cm      plas.çivili 600 adet;2.289,60 TL;9;8;;;;;1.916,85 TL;;0,00%;2.289,60 TL;;1597,38;;;1757,12;;;;;;;;;;;;;;
Dalmaçyalı Standart Dübel 15,5cm      plas.çivili 600 adet;2.520,00 TL;9;8;;;;;2.109,74 TL;;0,00%;2.520,00 TL;;1758,12;;;1933,93;;;;;;;;;;;;;;
Dalmaçyalı Beton Dübeli çelik çivili 9,5 cm            200 adet;794,40 TL;9;8;;;;;665,07 TL;;0,00%;794,40 TL;;554,23;;;609,65;;;;;;;;;;;;;;
Dalmaçyalı Beton Dübeli çelik çivili 11,5 cm         200 adet;847,20 TL;9;8;;;;;709,28 TL;;0,00%;847,20 TL;;591,06;;;650,17;;;;;;;;;;;;;;
Dalmaçyalı Beton Dübeli çelik çivili 13,5 cm         200 adet;938,40 TL;9;8;;;;;785,63 TL;;0,00%;938,40 TL;;654,69;;;720,16;;;;;;;;;;;;;;
Dalmaçyalı Beton Dübeli çelik çivili 15,5 cm         200 adet;1.099,20 TL;9;8;;;;;920,25 TL;;0,00%;1.099,20 TL;;766,88;;;843,56;;;;;;;;;;;;;;
Dalmaçyalı Taşyünü dübeli çelik çivili 11,5 cm      200 adet;1.185,60 TL;9;8;;;;;992,58 TL;;0,00%;1.185,60 TL;;827,15;;;909,87;;;;;;;;;;;;;;
Dalmaçyalı Taşyünü dübeli çelik çivili 13,5 cm      200 adet;1.308,00 TL;9;8;;;;;1.095,06 TL;;0,00%;1.308,00 TL;;912,55;;;1003,80;;;;;;;;;;;;;;
Dalmaçyalı Taşyünü dübeli çelik çivili 15,5 cm      200 adet;1.389,60 TL;9;8;;;;;1.163,37 TL;;0,00%;1.389,60 TL;;969,48;;;1066,43;;;;;;;;;;;;;;
Dalmaçyalı Tuğla Dübeli Plastik çivili 13,5 cm      200 adet;475,20 TL;9;8;;;;;397,84 TL;;0,00%;475,20 TL;;331,53;;;364,68;;;;;;;;;;;;;;
Dalmaçyalı Tuğla Dübeli Plastik çivili 15,5 cm      200 adet;544,80 TL;9;8;;;;;456,11 TL;;0,00%;544,80 TL;;380,09;;;418,10;;;;;;;;;;;;;;
Dalmaçyalı Tuğla Dübeli Çelik çivili 13,5 cm      200 adet;852,00 TL;9;8;;;;;713,29 TL;;0,00%;852,00 TL;;594,41;;;653,85;;;;;;;;;;;;;;
Dalmaçyalı Tuğla Dübeli Çelik çivili 15,5 cm      200 adet;991,20 TL;9;8;;;;;829,83 TL;;0,00%;991,20 TL;;691,53;;;760,68;;;;;;;;;;;;;;
Dalmaçyalı Taşyünü Dübel Pulu                                200 adet;472,80 TL;9;8;;;;;395,83 TL;;0,00%;472,80 TL;;329,86;;;362,84;;;;;;;;;;;;;;
Dalmaçyalı OSB Dübeli Vidasız 2,5cm                      200 adet;350,40 TL;9;8;;;;;293,35 TL;;0,00%;350,40 TL;;244,46;;;268,91;;;;;;;;;;;;;;
Dalmaçyalı Donatı Filesi S160 55 M2;2.765,70 TL;9;8;;;;;2.315,44 TL;;0,00%;2.765,70 TL;;1929,54;;;2122,49;;;;;;;;;;;;;;
Dalmaçyalı Organik Donatı Filesi S110 82,5 M2;4.151,70 TL;9;8;;;;;3.475,80 TL;;0,00%;4.151,70 TL;;2896,50;;;3186,15;;;;;;;;;;;;;;
Dalmaçyalı Fuga Donatı Filesi S70 50 M2;2.683,80 TL;9;8;;;;;2.246,88 TL;;0,00%;2.683,80 TL;;1872,40;;;2059,64;;;;;;;;;;;;;;
Dalmaçyalı Panzer Donatı File S340 25 M2;3.143,70 TL;9;8;;;;;2.631,91 TL;;0,00%;3.143,70 TL;;2193,25;;;2412,58;;;;;;;;;;;;;;
Dalmaçyalı Fileli Köşe (PVC) 2,5 Mt                  (50 adet 125 m);2.760,00 TL;9;8;;;;;2.310,67 TL;;0,00%;2.760,00 TL;;1925,56;;;2118,12;;;;;;;;;;;;;;
Dalmaçyalı Fileli Damlalık Profili (PVC) 2,5 Mt  (20 adet 50 m);1.680,00 TL;9;8;;;;;1.406,50 TL;;0,00%;1.680,00 TL;;1172,08;;;1289,29;;;;;;;;;;;;;;
Dalmaçyalı Fileli Fuga Profili 3*1,6cm 3 Mt         (10 adet 30 m);1.308,00 TL;9;8;;;;;1.095,06 TL;;0,00%;1.308,00 TL;;912,55;;;1003,80;;;;;;;;;;;;;;
Dalmaçyalı Fileli Fuga Profili 5*1,6cm 3 Mt         (10 adet 30 m);1.584,00 TL;9;8;;;;;1.326,12 TL;;0,00%;1.584,00 TL;;1105,10;;;1215,61;;;;;;;;;;;;;;
Dalmaçyalı Fileli Dilatasyon profili 2,5 Mt       (25 adet 62,5 m);28.500,00 TL;9;8;;;;;23.860,20 TL;;0,00%;28.500,00 TL;;19883,50;;;21871,85;;;;;;;;;;;;;;
Dalmaçyalı Subasman Profili 5cm 2,5 Mt ( 10 adet 25 m);3.804,00 TL;9;8;;;;;3.184,71 TL;;0,00%;3.804,00 TL;;2653,92;;;2919,32;;;;;;;;;;;;;;
Dalmaçyalı Subasman Profili 6cm 2,5 Mt ( 10 adet 25 m);4.152,00 TL;9;8;;;;;3.476,05 TL;;0,00%;4.152,00 TL;;2896,71;;;3186,38;;;;;;;;;;;;;;
Dalmaçyalı Pvc Denizlik Uzatma Profili 5cm 3m (10 adet 30 m);2.508,00 TL;9;8;;;;;2.099,70 TL;;0,00%;2.508,00 TL;;1749,75;;;1924,72;;;;;;;;;;;;;;
Dalmaçyalı Pvc Denizlik Uzatma Profili 8cm 3m (10 adet 30 m);3.432,00 TL;9;8;;;;;2.873,27 TL;;0,00%;3.432,00 TL;;2394,39;;;2633,83;;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 2cm;865,80 TL;9;8;;;;;724,85 TL;57,99 TL;0,00%;865,80 TL;;604,04;48,32;;664,44;53,16;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 3cm;755,71 TL;9;8;;;;;632,68 TL;79,09 TL;0,00%;755,71 TL;;527,23;65,90;;579,96;72,49;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 4cm;755,71 TL;9;8;;;;;632,68 TL;105,45 TL;0,00%;755,71 TL;;527,23;87,87;;579,96;96,66;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 5cm;787,20 TL;9;8;;;;;659,04 TL;131,81 TL;0,00%;787,20 TL;;549,20;109,84;;604,12;120,82;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 6cm;755,71 TL;9;8;;;;;632,68 TL;158,17 TL;0,00%;755,71 TL;;527,23;131,81;;579,96;144,99;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 7cm;771,46 TL;9;8;;;;;645,87 TL;184,53 TL;0,00%;771,46 TL;;538,22;153,78;;592,04;169,16;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 8cm;755,71 TL;9;8;;;;;632,68 TL;210,89 TL;0,00%;755,71 TL;;527,23;175,74;;579,96;193,32;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 9cm;708,48 TL;9;8;;;;;593,14 TL;237,26 TL;0,00%;708,48 TL;;494,28;197,71;;543,71;217,48;;;;;;;;;;;;;
Expert EPS Karbonlu Isı Yalıtım Levhası 10cm;787,20 TL;9;8;;;;;659,04 TL;263,62 TL;0,00%;787,20 TL;;549,20;219,68;;604,12;241,65;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 2cm;726,00 TL;9;8;;;;;607,81 TL;48,62 TL;0,00%;726,00 TL;;506,51;40,52;;557,16;44,57;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 3cm;633,60 TL;9;8;;;;;530,45 TL;66,31 TL;0,00%;633,60 TL;;442,04;55,26;;486,25;60,78;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 4cm;633,60 TL;9;8;;;;;530,45 TL;88,41 TL;0,00%;633,60 TL;;442,04;73,67;;486,25;81,04;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 5cm;660,00 TL;9;8;;;;;552,55 TL;110,51 TL;0,00%;660,00 TL;;460,46;92,09;;506,51;101,30;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 6cm;633,60 TL;9;8;;;;;530,45 TL;132,61 TL;0,00%;633,60 TL;;442,04;110,51;;486,25;121,56;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 7cm;646,80 TL;9;8;;;;;541,50 TL;154,71 TL;0,00%;646,80 TL;;451,25;128,93;;496,38;141,82;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 8cm;633,60 TL;9;8;;;;;530,45 TL;176,82 TL;0,00%;633,60 TL;;442,04;147,35;;486,25;162,08;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 9cm;594,00 TL;9;8;;;;;497,30 TL;198,92 TL;0,00%;594,00 TL;;414,41;165,77;;455,86;182,34;;;;;;;;;;;;;
Expert EPS (Beyaz) Isı Yalıtım Levhası 10cm;660,00 TL;9;8;;;;;552,55 TL;221,02 TL;0,00%;660,00 TL;;460,46;184,18;;506,51;202,60;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 2cm 20-22kg/m3;1.267,20 TL;9;8;;;;;1.060,90 TL;84,87 TL;0,00%;1.267,20 TL;;884,08;70,73;;972,49;77,80;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 3cm 20-22kg/m3;1.105,92 TL;9;8;;;;;925,88 TL;115,73 TL;0,00%;1.105,92 TL;;771,56;96,45;;848,72;106,09;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 4cm 20-22kg/m3;1.105,92 TL;9;8;;;;;925,88 TL;154,31 TL;0,00%;1.105,92 TL;;771,56;128,59;;848,72;141,45;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 5cm 20-22kg/m3;1.152,00 TL;9;8;;;;;964,45 TL;192,89 TL;0,00%;1.152,00 TL;;803,71;160,74;;884,08;176,82;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 6cm 20-22kg/m3;1.105,92 TL;9;8;;;;;925,88 TL;231,47 TL;0,00%;1.105,92 TL;;771,56;192,89;;848,72;212,18;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 7cm 20-22kg/m3;1.128,96 TL;9;8;;;;;945,17 TL;270,05 TL;0,00%;1.128,96 TL;;787,64;225,04;;866,40;247,54;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 8cm 20-22kg/m3;1.105,92 TL;9;8;;;;;925,88 TL;308,63 TL;0,00%;1.105,92 TL;;771,56;257,19;;848,72;282,91;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 9cm 20-22kg/m3;1.036,80 TL;9;8;;;;;868,01 TL;347,20 TL;0,00%;1.036,80 TL;;723,34;289,34;;795,67;318,27;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 10cm 20-22kg/m3;1.152,00 TL;9;8;;;;;964,45 TL;385,78 TL;0,00%;1.152,00 TL;;803,71;321,48;;884,08;353,63;;;;;;;;;;;;;
Expert Yapıştırma Harcı 25 KG;214,45 TL;9;8;;;;;179,54 TL;;0,00%;214,45 TL;;149,61;;;164,58;;;;;;;;;;;;;;
Expert Sıva Harcı 25 KG;285,52 TL;9;8;;;;;239,04 TL;;0,00%;285,52 TL;;199,20;;;219,12;;;;;;;;;;;;;;
Expert Dekoratif Mineral Kaplama İnce Tane 25 KG;392,44 TL;9;8;;;;;328,55 TL;;0,00%;392,44 TL;;273,79;;;301,17;;;;;;;;;;;;;;
Expert Dekoratif Mineral Kaplama Tane Doku 25 KG;392,44 TL;9;8;;;;;328,55 TL;;0,00%;392,44 TL;;273,79;;;301,17;;;;;;;;;;;;;;
Expert Dekoratif Mineral Kaplama Çizgi Doku 25 KG;431,99 TL;9;8;;;;;361,66 TL;;0,00%;431,99 TL;;301,39;;;331,52;;;;;;;;;;;;;;
Expert Kaplama Astarı 25 KG;1.272,00 TL;9;8;;;;;1.064,92 TL;;0,00%;1.272,00 TL;;887,43;;;976,18;;;;;;;;;;;;;;
Expert Donatı Filesi F160 55 M2;1.808,10 TL;9;8;;;;;1.513,74 TL;;0,00%;1.808,10 TL;;1261,45;;;1387,60;;;;;;;;;;;;;;
Expert Fileli Köşe Profili (PVC)  2,5 m  (50 adet 125 m);2.655,00 TL;9;8;;;;;2.222,77 TL;;0,00%;2.655,00 TL;;1852,31;;;2037,54;;;;;;;;;;;;;;
Expert Plastik Dübel 9,5cm                                   (600 adet);1.252,80 TL;9;8;;;;;1.048,84 TL;;0,00%;1.252,80 TL;;874,04;;;961,44;;;;;;;;;;;;;;
Expert Plastik Dübel 11,5cm                                 (600 adet);1.324,80 TL;9;8;;;;;1.109,12 TL;;0,00%;1.324,80 TL;;924,27;;;1016,70;;;;;;;;;;;;;;
Expert Plastik Dübel 13,5cm                                 (600 adet);1.670,40 TL;9;8;;;;;1.398,46 TL;;0,00%;1.670,40 TL;;1165,38;;;1281,92;;;;;;;;;;;;;;
Expert Plastik Dübel 15,5cm                                 (600 adet);1.800,00 TL;9;8;;;;;1.506,96 TL;;0,00%;1.800,00 TL;;1255,80;;;1381,38;;;;;;;;;;;;;;
Expert Çelik Çivili Dübel 9,5                                 (400 adet);1.555,20 TL;9;8;;;;;1.302,01 TL;;0,00%;1.555,20 TL;;1085,01;;;1193,51;;;;;;;;;;;;;;
Expert Çelik Çivili Dübel 11,5                              (400 adet);1.660,80 TL;9;8;;;;;1.390,42 TL;;0,00%;1.660,80 TL;;1158,68;;;1274,55;;;;;;;;;;;;;;
Expert Çelik Çivili Dübel 13,5                              (400 adet);1.838,40 TL;9;8;;;;;1.539,11 TL;;0,00%;1.838,40 TL;;1282,59;;;1410,85;;;;;;;;;;;;;;
Expert Çelik Çivili Dübel 15,5                              (400 adet);2.121,60 TL;9;8;;;;;1.776,20 TL;;0,00%;2.121,60 TL;;1480,17;;;1628,19;;;;;;;;;;;;;;
Expert Çelik Çivili Taşyünü Dübeli 11,5 cm     (200 adet);1.147,20 TL;9;8;;;;;960,44 TL;;0,00%;1.147,20 TL;;800,36;;;880,40;;;;;;;;;;;;;;
Expert Çelik Çivili Taşyünü Dübeli 13,5 cm     (200 adet);1.248,00 TL;9;8;;;;;1.044,83 TL;;0,00%;1.248,00 TL;;870,69;;;957,76;;;;;;;;;;;;;;
Expert Çelik Çivili Taşyünü Dübeli 15,5 cm     (200 adet);1.339,20 TL;9;8;;;;;1.121,18 TL;;0,00%;1.339,20 TL;;934,32;;;1027,75;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
